Tier,Category,Business Name,City/State,Phone,Address,Website,Contact Page,Email,Notes
S,Shelter/Rescue,Bowling Green-Warren County Humane Society,"Bowling Green, KY",(270) 783-9404,"1924 Louisville Rd, Bowling Green, KY 42101",https://www.bgshelterpets.com,https://www.bgshelterpets.com/contact-us1.html,,"BIGGEST buyer. Shelter + Hotaling spay/neuter clinic + Community Cat/TNR program (~1200 cats fixed). Contact page has dept emails. Lines: HS (270) 842-8572, Clinic (270) 745-8646, Cat Hotline (270) 715-0937"
S,Spay/Neuter Clinic,Hotaling Spay/Neuter Clinic (BGWCHS),"Bowling Green, KY",(270) 745-8646,"1924 Louisville Rd, Bowling Green, KY 42101",https://www.bgshelterpets.com,https://www.bgshelterpets.com/spay--neuter.html,,High surgery volume (booked ~1 month out) = constant post-op litter use. Part of BGWCHS
S,Shelter/Rescue,Barren River Animal Welfare Assoc. (BRAWA),"Glasgow, KY",(270) 651-7297,"175 Trojan Trail, Glasgow, KY 42141",https://brawashelter.org,https://brawashelter.org,brawa.shelter@gmail.com,~2500 animals/yr
S,Shelter/Rescue,Logan County Humane Society,"Russellville, KY",(270) 726-2186,"550 Sportsman Club Rd, Russellville, KY 42276",https://adoptlcpets.com,https://adoptlcpets.com,,501(c)(3) since 1989. Email via site form
S,Shelter/Rescue,Simpson County Animal Shelter,"Franklin, KY",(270) 586-3125,"2194 Ditmore Ford Rd, Franklin, KY 42134",https://simpsoncokyanimalshelter.org,https://simpsoncokyanimalshelter.org/more-about-us/,,High intake county shelter
S,Spay/Neuter Program,The Fix Foundation / SpayKentucky (Warren Co.),"Bowling Green / Warren County, KY",,Warren County KY,https://spaykentucky.com/warren-county,https://spaykentucky.com/warren-county,,Regional low-cost spay/neuter program - recurring post-op litter use
A,Pet Store (Reseller),Feeders Pet Supply,"Bowling Green, KY",(270) 936-8621,"560 US 31 W Bypass, Bowling Green, KY 42101",https://feederspetsupply.com,https://feederspetsupply.com/contact-us/,info@feederssupply.com,Regional chain (Houchens) - bulk RESELLER/distributor lead
A,Pet Store (Reseller),PetSmart,"Bowling Green, KY",(270) 495-2259,"2300 Gary Farms Blvd Ste 600, Bowling Green, KY 42104",https://www.petsmart.com,https://stores.petsmart.com/us/ky/bowling-green,,Bulk reseller (corporate buying). Grooming/boarding on site
A,Pet Store (Reseller),Petco,"Bowling Green, KY",(270) 495-6617,"Bowling Green, KY",https://www.petco.com,https://stores.petco.com/ky/bowling-green,,Bulk reseller (corporate buying)
A,Pet Store (Reseller),Petco,"Glasgow, KY",(270) 710-6019,"141 Beaver Trl S, Glasgow, KY 42141",https://www.petco.com,https://stores.petco.com/ky/glasgow,,Pet + farm supply reseller
